sampleID,events / ml this is also per g that was put into the tube wet weight,Timepoint,BactWetWeight,LitterWetWeight,LitterDryWeight,Bacterialdryweight,cellspergdryweight,sampleID2,Location,Treatment,hyphae_cm/gdrylitter
1W03,7.79E+07,3,0.112,1.035,0.85,0.091980676,8.47E+08,NA,NA,NA,NA
1W04,1.29E+08,3,0.106,1.06,0.89,0.089,1.45E+09,NA,NA,NA,NA
2C01,3.09E+08,3,0.108,1.026,0.86,0.090526316,3.41E+09,NA,NA,NA,NA
2C02,3.63E+08,3,0.106,1.024,0.86,0.089023438,4.08E+09,NA,NA,NA,NA
2C03,2.48E+08,3,0.1,1.033,0.87,0.084220716,2.95E+09,NA,NA,NA,NA
2C04,1.41E+08,3,0.1,1.131,0.93,0.082228117,1.71E+09,NA,NA,NA,NA
2D01,1.51E+08,3,0.103,0.852,0.72,0.087042254,1.73E+09,NA,NA,NA,NA
2D02,3.56E+08,3,0.1,1.013,0.84,0.082922014,4.29E+09,NA,NA,NA,NA
2D04,7.34E+08,3,0.106,1.033,0.86,0.088247822,8.31E+09,NA,NA,NA,NA
2G01,1.38E+08,3,0.104,1.031,0.86,0.086750727,1.59E+09,NA,NA,NA,NA
2G02,3.83E+08,3,0.1,1.034,0.88,0.085106383,4.50E+09,NA,NA,NA,NA
2G03,1.45E+08,3,0.097,0.862,0.71,0.079895592,1.81E+09,NA,NA,NA,NA
2G04,4.60E+08,3,0.098,1.053,0.89,0.082830009,5.56E+09,NA,NA,NA,NA
2L01,4.88E+07,3,0.1,0.84,0.69,0.082142857,5.93E+08,NA,NA,NA,NA
2L02,1.67E+08,3,0.11,0.871,0.73,0.092192882,1.81E+09,NA,NA,NA,NA
2L03,1.25E+08,3,0.11,0.64,0.51,0.08765625,1.43E+09,NA,NA,NA,NA
2L04,1.07E+08,3,0.11,0.9,0.74,0.090444444,1.18E+09,NA,NA,NA,NA
2N01,2.40E+08,3,0.106,0.555,0.42,0.080216216,3.00E+09,NA,NA,NA,NA
2N02,3.77E+08,3,0.109,0.571,0.44,0.083992995,4.49E+09,NA,NA,NA,NA
2N03,1.40E+08,3,0.108,0.562,0.43,0.082633452,1.69E+09,NA,NA,NA,NA
2N04,1.94E+08,3,0.108,0.684,0.55,0.086842105,2.23E+09,NA,NA,NA,NA
2P01,8.36E+08,3,0.11,0.811,0.65,0.088162762,9.49E+09,NA,NA,NA,NA
2P02,6.34E+08,3,0.102,1.068,0.91,0.086910112,7.30E+09,NA,NA,NA,NA
2P03,7.41E+08,3,0.108,0.836,0.67,0.086555024,8.56E+09,NA,NA,NA,NA
2P04,7.66E+08,3,0.099,0.97,0.8,0.081649485,9.38E+09,NA,NA,NA,NA
2S01,3.01E+08,3,0.1098,0.966,0.8,0.090931677,3.31E+09,NA,NA,NA,NA
2S02,4.78E+08,3,0.1107,1.0016,0.82,0.090628994,5.27E+09,NA,NA,NA,NA
2S03,6.37E+08,3,0.107,0.7568,0.6,0.084830867,7.50E+09,NA,NA,NA,NA
2S04,6.15E+08,3,0.102,1.002,0.74,0.075329341,8.17E+09,NA,NA,NA,NA
2W01,5.03E+08,3,0.106,0.407,0.3,0.078132678,6.43E+09,NA,NA,NA,NA
2W02,7.96E+08,3,0.092,1.392,1.18,0.077988506,1.02E+10,NA,NA,NA,NA
2W03,2.20E+08,3,0.108,0.794,0.65,0.088413098,2.49E+09,NA,NA,NA,NA
2W04,8.40E+08,3,0.108,1.018,0.85,0.090176817,9.32E+09,NA,NA,NA,NA
3C01,2.63E+08,3,0.11,1.01,0.84,0.091485149,2.87E+09,NA,NA,NA,NA
3C02,2.66E+08,3,0.1,1.09,1.06,0.097247706,2.74E+09,NA,NA,NA,NA
3C03,2.38E+08,3,0.11,1.23,0.91,0.081382114,2.93E+09,NA,NA,NA,NA
3C04,5.20E+08,3,0.11,1.23,1.05,0.093902439,5.54E+09,NA,NA,NA,NA
3C05,1.27E+09,3,0.1197,,0.9842,#DIV/0!,#DIV/0!,NA,NA,NA,NA
3D01,6.88E+08,3,0.099,0.9612,0.77,0.079307116,8.68E+09,NA,NA,NA,NA
3D02,1.52E+09,3,0.1053,1.055,0.9,0.089829384,1.69E+10,NA,NA,NA,NA
3D03,3.70E+08,3,0.0955,1.0028,0.84,0.079996011,4.63E+09,NA,NA,NA,NA
3D04,6.20E+08,3,0.1068,1.0624,0.89,0.089469127,6.92E+09,NA,NA,NA,NA
3G01,3.50E+08,3,0.1038,1.0105,0.84,0.086285997,4.05E+09,NA,NA,NA,NA
3G02,1.03E+09,3,0.0988,1.158,0.98,0.083613126,1.23E+10,NA,NA,NA,NA
3G03,4.22E+08,3,0.0981,1.037,0.87,0.082301832,5.13E+09,NA,NA,NA,NA
